WORDS,FREQ
0,2
1,2
10,16
16,2
2,2
20,2
2015,4
2016,6
2017,2
2018,4
2019,2
2020,2
203,4
281,4
33,6
40,2
4th,2
5,2
55,2
5th,2
6,6
7,4
74,4
75007,2
75013,2
87,2
8th,4
ability,14
academic,10
accomplishment,2
acquire,2
across,4
activity,4
actor,4
actuarial,4
actuary,4
advance,2
advantage,2
affective,2
algorithm,4
algorithmic,4
allow,10
already,2
also,26
always,6
among,4
analysis,4
analytical,4
anatomy,2
anomaly,2
apart,2
application,16
apply,6
appropriate,2
apps,16
april,2
art,2
article,4
artistry,4
ask,4
asset,4
assistant,2
attend,2
attention,6
august,2
available,4
aware,2
bachelor,4
band,4
bank,30
barrault,2
base,6
basic,2
become,4
beginning,2
belief,4
believe,10
benefit,2
best,16
beyond,4
big,4
blog,4
broad,4
build,4
bullet,2
c,2
call,6
camille,4
camp,4
car,2
career,16
case,8
center,2
ch,2
challenge,4
challenging,4
chance,4
charge,18
choose,2
city,4
clarification,2
class,20
classroom,8
client,4
clinical,2
closely,4
cluster,2
cnn,4
com,6
combine,10
committee,2
company,6
competition,2
competitive,4
competitiveness,4
complete,4
computer,14
computing,2
conception,4
concise,2
confident,1
confront,2
consensus,4
consider,16
consistently,4
constant,4
contact,6
contain,2
content,4
continent,4
convince,4
cope,4
corporate,6
could,4
course,2
cover,26
covet,2
coveted,2
craft,4
crave,2
create,4
creation,4
credential,4
critical,2
crowfunding,2
crucial,4
culture,2
curious,2
currently,4
customer,2
customize,2
cut,2
data,10
dauphine,4
dbldn,2
de,2
dear,12
decide,6
decine,2
dedicate,4
dedication,4
deep,12
deepen,2
define,4
degree,6
delivering,4
demonstrate,6
derivative,8
description,2
detection,2
deutsche,30
develop,8
developer,32
development,18
different,8
difficulty,2
digital,2
dipl,2
discover,2
discussion,8
disposal,4
diversity,4
division,4
dl,2
do,2
doctorate,2
document,2
docx,2
doubt,2
downloaded,16
draw,4
duality,4
duty,2
e,8
earlier,4
early,2
economic,2
ecosystem,5
edge,2
effort,2
email,4
embryology,2
emotion,4
employment,2
engage,4
engineering,6
enter,4
enthusiasm,4
entirety,2
entrepreneurship,2
environment,8
equity,8
essential,6
even,6
ever,2
example,4
excellence,8
excellent,4
exotic,4
expand,4
experience,12
explain,2
extraction,4
f,4
fabien,14
facial,4
far,2
fatality,2
favourable,4
feel,7
field,10
finance,6
financial,16
firm,4
first,14
fit,2
five,4
floor,4
focus,4
focusing,2
follow,4
following,2
formascience,2
forward,4
france,2
free,4
french,2
fully,2
g,2
gain,4
game,32
generale,4
genetics,2
geneva,2
geospatial,2
get,4
github,8
give,4
global,6
gmail,6
go,2
goal,2
good,2
grab,2
graduate,14
graph,8
gratify,4
great,2
group,20
growth,6
guideline,2
gynecology,2
handle,18
happy,20
hard,6
hear,2
hec,2
hello,33
help,2
hesitate,2
high,6
highlight,2
highly,14
hiring,6
honesty,4
honour,4
hope,4
hospital,2
http,8
https,2
humaine,2
humility,6
hundred,4
hybrid,2
idea,4
illustrate,4
impact,5
important,6
importantly,2
impress,4
improve,2
include,6
increase,2
increasingly,2
incredible,2
individual,4
individually,16
information,4
infrastructure,2
innovate,2
innovation,8
input,2
inspire,4
instance,4
institution,4
instructor,2
insurance,4
intellectual,4
intensive,2
interact,8
interest,6
interested,2
intern,4
internship,20
interpersonal,4
intership,2
interview,4
intrinsic,4
introduce,2
involve,4
io,24
j,2
job,8
join,8
joined,2
journey,2
keep,6
kera,2
key,4
kingdom,2
know,4
knowledge,8
l,6
laboratory,2
land,2
landmark,2
language,2
large,2
lately,16
launch,2
lausanne,8
lead,6
leadership,4
learn,16
learning,20
least,4
leave,6
lecture,4
lederman,6
lesson,2
let,2
letter,22
letterpe,2
lettersummer,2
lettrepe,6
level,2
leverage,2
life,2
like,11
lionel,4
list,2
london,10
long,4
look,2
loomky,4
m,4
machine,6
madam,6
mailto,4
main,2
maintain,4
manager,6
mandatory,4
many,6
market,26
master,10
match,4
mathematical,2
matter,2
maximum,4
may,4
md,2
measurable,2
medical,8
medicine,2
meet,8
member,4
memoir,2
message,2
method,2
microsoft,2
mindedness,4
mine,2
minute,2
miss,2
mistake,2
mobile,16
model,2
modeling,2
monitor,16
month,8
motivate,2
move,6
much,2
multidisciplinary,2
multimodal,2
music,4
mutual,4
myblog,6
n,6
name,4
natural,2
